Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary28 - 29.Adalaide Byrd28 - 29.Junichiro Kamijo28 - 29.,Luis Saldana,Luis Saldana,Jordan Griffin,36 of 88,33 of 69,40%,47%,40 of 94,39 of 77
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato26 - 30.Rick Winter26 - 30.Tony Weeks27 - 30.,Da-Un Jung,Da-Un Jung,William Knight,28 of 46,17 of 29,60%,58%,73 of 99,38 of 50
Welterweight Bout,Submission,2,0:26,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Impa Kasanganay,Impa Kasanganay,Sasha Palatnikov,13 of 29,13 of 24,44%,54%,21 of 41,31 of 43
UFC Heavyweight Title Bout,KO/TKO,2,0:52,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,Francis Ngannou,Stipe Miocic,Francis Ngannou,12 of 13,36 of 56,92%,64%,12 of 13,38 of 58
Welterweight Bout,Submission,1,3:56,3 Rnd (5-5-5),Jason Herzog,D'Arce Choke On Ground,Vicente Luque,Tyron Woodley,Vicente Luque,18 of 40,25 of 33,45%,75%,21 of 43,41 of 49
Bantamweight Bout,KO/TKO,3,3:52,3 Rnd (5-5-5),Mark Smith,Punch to Head On Ground,Sean O'Malley,Sean O'Malley,Thomas Almeida,86 of 149,25 of 71,57%,35%,91 of 157,25 of 71
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato27 - 30.Mike Bell27 - 30.Eric Colon28 - 29.,Miranda Maverick,Gillian Robertson,Miranda Maverick,27 of 68,71 of 150,39%,47%,32 of 75,131 of 217
Lightweight Bout,KO/TKO,1,0:46,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Jamie Mullarkey,Jamie Mullarkey,Khama Worthy,6 of 13,5 of 10,46%,50%,6 of 13,5 of 10
Light Heavyweight Bout,Submission,1,1:11,3 Rnd (5-5-5),Herb Dean,"Other - Choke From Side Control
      Von Flue Choke",Alonzo Menifield,Alonzo Menifield,Fabio Cherant,3 of 3,0 of 1,100%,0%,3 of 3,0 of 1
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Dave Hagen27 - 30.Derek Cleary27 - 30.Mike Bell27 - 30.,Abubakar Nurmagomedov,Jared Gooden,Abubakar Nurmagomedov,43 of 136,60 of 120,31%,50%,111 of 207,100 of 164
Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon29 - 28.Ron McCarthy28 - 29.Tony Weeks28 - 29.,Michal Oleksiejczuk,Modestas Bukauskas,Michal Oleksiejczuk,58 of 167,56 of 122,34%,45%,62 of 172,77 of 144
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Junichiro Kamijo27 - 30.Dave Hagen27 - 30.Sal D'amato27 - 30.,Omar Morales,Shane Young,Omar Morales,46 of 105,69 of 144,43%,47%,59 of 120,74 of 150
Middleweight Bout,KO/TKO,3,4:56,3 Rnd (5-5-5),Jerin Valel,Punches to Head From Mount,Marc-Andre Barriault,Marc-Andre Barriault,Abu Azaitar,141 of 275,108 of 219,51%,49%,190 of 339,142 of 261
Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell45 - 49.Sal D'amato46 - 49.Junichiro Kamijo46 - 49.,Derek Brunson,Derek Brunson,Kevin Holland,43 of 93,36 of 74,46%,48%,226 of 323,190 of 236
Welterweight Bout,KO/TKO,1,2:20,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance,Max Griffin,Song Kenan,Max Griffin,14 of 24,17 of 28,58%,60%,14 of 24,17 of 28
