Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary28 - 29.Sal D'amato28 - 29.Troy Wincapaw29 - 28.,Dan Ige,Dan Ige,Edson Barboza,79 of 164,80 of 144,48%,55%,100 of 189,87 of 152
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Troy Wincapaw27 - 30.Derek Cleary28 - 29.Sal D'amato28 - 29.,Krzysztof Jotko,Eryk Anders,Krzysztof Jotko,41 of 97,66 of 116,42%,56%,73 of 132,101 of 154
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Sal D'amato28 - 29.Howard Reichbach28 - 29.Dave Tirelli28 - 29.,Song Yadong,Song Yadong,Marlon Vera,101 of 201,92 of 164,50%,56%,119 of 221,115 of 187
Welterweight Bout,KO/TKO,2,0:18,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,Miguel Baeza,Matt Brown,Miguel Baeza,33 of 61,37 of 73,54%,50%,33 of 61,42 of 79
Middleweight Bout,KO/TKO,1,0:39,3 Rnd (5-5-5),Michael Cardoso,Knees to Body In Clinch,Kevin Holland,Anthony Hernandez,Kevin Holland,0 of 3,14 of 18,0%,77%,0 of 3,14 of 18
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Troy Wincapaw26 - 30.Derek Cleary27 - 30.Dave Tirelli27 - 30.,Giga Chikadze,Giga Chikadze,Irwin Rivera,61 of 135,34 of 94,45%,36%,61 of 135,35 of 95
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Dave Tirelli28 - 29.Chris Lee27 - 30.Sal D'amato27 - 30.,Nate Landwehr,Darren Elkins,Nate Landwehr,121 of 253,118 of 234,47%,50%,142 of 276,121 of 237
Women's Flyweight Bout,Submission,1,3:36,3 Rnd (5-5-5),Michael Cardoso,Armbar From Bottom Guard,Cortney Casey,Cortney Casey,Mara Romero Borella,6 of 12,5 of 7,50%,71%,18 of 24,21 of 24
Heavyweight Bout,Submission,2,2:05,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Rodrigo Nascimento,Rodrigo Nascimento,Don'Tale Mayes,32 of 52,27 of 48,61%,56%,45 of 65,42 of 65
Light Heavyweight Bout,KO/TKO,5,1:04,5 Rnd (5-5-5-5-5),Jason Herzog,Punches to Head From Mount,Glover Teixeira,Anthony Smith,Glover Teixeira,86 of 210,138 of 226,40%,61%,87 of 212,202 of 297
Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary28 - 29.Dave Tirelli28 - 29.Sal D'amato29 - 28.,Ben Rothwell,Ben Rothwell,Ovince Saint Preux,56 of 110,42 of 82,50%,51%,86 of 142,46 of 87
Lightweight Bout,KO/TKO,2,4:25,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Drew Dober,Alexander Hernandez,Drew Dober,34 of 108,61 of 145,31%,42%,41 of 115,65 of 149
Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),,Sal D'amato28 - 29.Dave Tirelli29 - 28.Derek Cleary28 - 29.,Ricky Simon,Ricky Simon,Ray Borg,67 of 144,47 of 91,46%,51%,93 of 170,53 of 98
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato27 - 30.Howard Reichbach27 - 30.Dave Tirelli28 - 29.,Andrei Arlovski,Andrei Arlovski,Philipe Lins,50 of 107,41 of 99,46%,41%,50 of 107,41 of 99
Lightweight Bout,Submission,2,0:25,3 Rnd (5-5-5),Keith Peterson,Ankle Lock After Drop to Ground,Thiago Moises,Michael Johnson,Thiago Moises,27 of 60,1 of 16,45%,6%,28 of 61,1 of 16
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Michael Cardoso,Chris Lee27 - 30.Dave Tirelli27 - 30.Barry Luxenberg26 - 30.,Sijara Eubanks,Sijara Eubanks,Sarah Moras,85 of 171,44 of 138,49%,31%,104 of 190,84 of 179
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Howard Reichbach27 - 30.Sal D'amato28 - 29.Derek Cleary28 - 29.,Omar Morales,Gabriel Benitez,Omar Morales,50 of 179,63 of 215,27%,29%,50 of 179,63 of 215
Featherweight Bout,KO/TKO,2,3:40,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,Brian Kelleher,Hunter Azure,Brian Kelleher,62 of 132,29 of 99,46%,29%,67 of 139,32 of 102
Heavyweight Bout,KO/TKO,2,0:49,3 Rnd (5-5-5),Michael Cardoso,Elbow to Head In Clinch,Chase Sherman,Chase Sherman,Ike Villanueva,51 of 87,16 of 54,58%,29%,51 of 87,16 of 54
UFC Interim Lightweight Title Bout,KO/TKO,5,3:39,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,Justin Gaethje,Tony Ferguson,Justin Gaethje,136 of 296,143 of 197,45%,72%,136 of 296,143 of 197
UFC Bantamweight Title Bout,KO/TKO,2,4:58,5 Rnd (5-5-5-5-5),Keith Peterson,Knee to Head At Distance,Henry Cejudo,Henry Cejudo,Dominick Cruz,53 of 83,33 of 81,63%,40%,56 of 86,33 of 81
Heavyweight Bout,KO/TKO,1,0:20,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,Francis Ngannou,Francis Ngannou,Jairzinho Rozenstruik,6 of 13,5 of 5,46%,100%,6 of 13,5 of 5
Featherweight Bout,KO/TKO,2,2:49,3 Rnd (5-5-5),Jason Herzog,Elbow to Head At Distance,Calvin Kattar,Jeremy Stephens,Calvin Kattar,57 of 104,52 of 113,54%,46%,57 of 104,52 of 113
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary27 - 30.Chris Lee27 - 30.Howard Reichbach27 - 30.,Greg Hardy,Greg Hardy,Yorgan De Castro,55 of 124,24 of 69,44%,34%,66 of 135,24 of 69
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Dave Tirelli28 - 29.Troy Wincapaw28 - 29.Sal D'amato28 - 29.,Anthony Pettis,Anthony Pettis,Donald Cerrone,63 of 113,62 of 148,55%,41%,81 of 133,62 of 148
Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary29 - 28.Barry Luxenberg28 - 29.Chris Lee28 - 29.,Aleksei Oleinik,Aleksei Oleinik,Fabricio Werdum,94 of 183,53 of 83,51%,63%,149 of 241,70 of 101
Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Dave Tirelli30 - 27.Sal D'amato28 - 29.Howard Reichbach27 - 30.,Carla Esparza,Carla Esparza,Michelle Waterson,45 of 103,44 of 98,43%,44%,48 of 106,44 of 98
Welterweight Bout,TKO - Doctor's Stoppage,3,3:37,3 Rnd (5-5-5),Jason Herzog,,Vicente Luque,Vicente Luque,Niko Price,130 of 237,129 of 291,54%,44%,130 of 237,144 of 307
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Barry Luxenberg25 - 30.Troy Wincapaw25 - 30.Derek Cleary24 - 30.,Bryce Mitchell,Bryce Mitchell,Charles Rosa,40 of 49,5 of 10,81%,50%,60 of 74,12 of 17
Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Sal D'amato28 - 29.Dave Tirelli28 - 29.Chris Lee29 - 28.,Ryan Spann,Ryan Spann,Sam Alvey,51 of 115,57 of 108,44%,52%,52 of 116,103 of 156
Lightweight Bout,Submission,3,0:28,5 Rnd (5-5-5-5-5),Mike Beltran,Guillotine Choke After Drop to Half Guard,Charles Oliveira,Kevin Lee,Charles Oliveira,41 of 80,43 of 65,51%,66%,61 of 100,51 of 73
Welterweight Bout,KO/TKO,1,2:34,3 Rnd (5-5-5),Osiris Maia,Punch to Head At Distance,Gilbert Burns,Demian Maia,Gilbert Burns,4 of 7,13 of 16,57%,81%,4 of 7,14 of 17
Lightweight Bout,Submission,1,0:44,3 Rnd (5-5-5),Eduardo Herdy,Rear Naked Choke,Renato Moicano,Renato Moicano,Damir Hadzovic,1 of 2,1 of 5,50%,20%,4 of 5,1 of 5
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,Joseph Terrell27 - 30.Sal D'amato28 - 29.Mike Bell28 - 29.,Nikita Krylov,Johnny Walker,Nikita Krylov,37 of 50,45 of 58,74%,77%,91 of 112,128 of 148
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,Sal D'amato27 - 30.Joseph Terrell27 - 30.Mike Bell28 - 29.,Francisco Trinaldo,Francisco Trinaldo,John Makdessi,55 of 126,67 of 123,43%,54%,55 of 126,68 of 124
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,Guilherme Bravo27 - 30.Sal D'amato28 - 29.Hallison Pontes28 - 29.,Brandon Moreno,Jussier Formiga,Brandon Moreno,15 of 32,33 of 82,46%,40%,61 of 81,94 of 147
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,Mike Bell26 - 30.Hallison Pontes25 - 30.Joseph Terrell25 - 30.,Amanda Ribas,Amanda Ribas,Randa Markos,85 of 159,36 of 77,53%,46%,173 of 254,56 of 99
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,Sal D'amato28 - 29.Joseph Terrell28 - 29.Guilherme Bravo28 - 29.,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,Aleksei Kunchenko,62 of 156,57 of 112,39%,50%,74 of 169,97 of 156
Bantamweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Julio Catarino,Sal D'amato28 - 29.Hallison Pontes28 - 28.Guilherme Bravo28 - 28.,draw,Rani Yahya,Enrique Barzola,24 of 45,57 of 86,53%,66%,58 of 83,148 of 187
